Feature,Importance
Feature 14,0.0867320707981959
Feature 9,0.06905148061888762
Feature 22,0.04687556237960867
Feature 16,0.014326175490623766
Feature 1,0.002523550344079681
Feature 8,0.0023135447370469403
Feature 7,4.163336342344337e-17
Feature 3,6.938893903907228e-18
Feature 21,0.0
Feature 18,0.0
Feature 20,0.0
Feature 2,0.0
Feature 12,-1.5178830414797062e-17
Feature 0,-0.009491719719611196
Feature 5,-0.035630490043694105
Feature 4,-0.039393266441492214
Feature 19,-0.04119501159889215
Feature 17,-0.04352336772456551
Feature 6,-0.058478386638600624
Feature 10,-0.08493882841178052
Feature 13,-0.09855412740116687
Feature 15,-0.09982616288158459
Feature 11,-0.12744668809858256
